pair_id, question                                                                                                                                                                                            , retrieved_context                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , answer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , label (Supported/Hallucinated), notes
e2-q066, Is the cell death in mesial temporal sclerosis apoptotic?                                                                                                                                           , "Mesial temporal sclerosis (MTS) is characterized by neuronal loss in the hippocampus. Studies on experimental models and patients with intractable epilepsy suggest that apoptosis may be involved in neuronal death induced by recurrent seizures. We searched evidence for apoptotic cell death in temporal lobes resected from drug-resistant epilepsy patients with MTS by using the terminal deoxynucleotidyl transferase (TdT) and digoxigenin-11-dUTP (TUNEL) method and immunohistochemistry for Bcl-2, Bax, and caspase-cleaved actin fragment, fractin. The temporal lobe specimens were obtained from 15 patients (six women and nine men; mean age, 29 +/- 8 years). Unlike that in normal adult brain, we observed Bcl-2 immunoreactivity in some of the remaining neurons dispersed throughout the hippocampus proper as well as in most of the reactive astroglia. Bax immunopositivity was increased in almost all neurons.
                                                                                                                                                                                                               
                                                                                                                                                                                                               Bax immunopositivity was increased in almost all neurons. Fractin immunostaining, an indicator of caspase activity, was detected in approximately 10% of these neurons. Despite increased Bax expression and activation of caspases, we could not find evidence for DNA fragmentation by TUNEL staining. We also could not detect typical apoptotic changes in nuclear morphology by Hoechst-33258 or hematoxylin counterstaining.
                                                                                                                                                                                                               
                                                                                                                                                                                                               A retrospective analysis of a contemporary series of patients with pituitary apoplexy was performed to ascertain whether the histopathological features influence the clinical presentation or the outcome. A retrospective analysis was performed in 59 patients treated for pituitary apoplexy at the University of Virginia Health System, Charlottesville, Virginia, or Groote Schuur Hospital, University of Cape Town, South Africa. The patients were divided into two groups according to the histological features of their disease: one group with infarction alone, comprising 22 patients; and the other with hemorrhagic infarction and/or frank hemorrhage, comprising 37 patients. The presenting symptoms, clinical features, endocrinological status, and outcome were compared between the two groups."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Based on the provided context, the cell death in mesial temporal sclerosis does not appear to be apoptotic, as no evidence of DNA fragmentation was found using TUNEL staining and typical apoptotic nuclear changes were absent. Although markers of apoptosis such as increased Bax expression and caspase activity (indicated by fractin) were detected, the lack of definitive DNA fragmentation suggests that the neuronal loss is not primarily due to classical apoptosis."                                                                                                                                                                                                                                                              ,                               , 
e2-q187, Oral mucocele/ranula: Another human immunodeficiency virus-related salivary gland disease?                                                                                                          , "Nasal Polyposis (NP) is defined as a chronic inflammatory disease of sinonasal mucosa leading to diffuse formation of benign polyps. Although family histories are frequently suggested in medical literature, no specific study focused on this point has been reported. The purpose of this study is to determine whether a hereditary factor could be implied for NP in a family where several members were affected. We included 99 members of this family. All patients were assessed for conditions known to be associated with the development or presence of NP. Concerning NP, patients were screened with a validated questionnaire and selected patients had a medical examination by an Ear, Nose and Throat practitioner. Thirteen patients had a personal history of NP without asthma, aspirin intolerance, Churg Strauss syndrome, cystic fibrosis, Young's syndrome, bare lymphocyte syndrome, or primary ciliary dyskinesia. Within this family, 19.7% of those older than 17 years were affected by NP, as compared with the national French prevalence of 2.1%.
                                                                                                                                                                                                               
                                                                                                                                                                                                               The unmarried status was a borderline risk factor for BV (OR = 1.83, 95% CI 0.94-4.9) after adjustment for age, smoking and education. An analysis of the microbiological culture from the lower genital tract revealed that unmarried pregnant women had a higher risk for several types of pathological microflora, as compared to married women. However, this finding was significant only for Mycoplasma hominis. The independent risk factors of M. hominis were the young age of the subject and a low concentration of Lactobacillus spp.
                                                                                                                                                                                                               
                                                                                                                                                                                                               To assess the impact of the comprehensive HIV/STD Control Program established in Jamaica since the late 1980s on the HIV/AIDS epidemic. AIDS case reports, HIV testing of blood donors, antenatal clinic attenders (ANC), food service workers, sexually transmitted disease (STD) clinic attenders, female prostitutes, homosexuals and other groups were used to monitor the HIV/AIDS epidemic. Primary and secondary syphilis and cases of congenital syphilis were also monitored. National knowledge, attitude and practice (KAP) surveys were conducted in 1988, 1989, 1992, 1994 and 1996. The annual AIDS incidence rate in Jamaica increased only marginally in the past three years from 18.5 per 100000 population to 21.4 in 1997. HIV prevalence in the general population groups tested has been about 1% or less. Among those at high risk, HIV prevalence rates have risen to 6.3% (95% confidence interval 5.0-8.0) in STD clinic attenders, around 10% and 21% in female prostitutes in Kingston and Montego Bay respectively and approximately 30% among homosexuals. Syphilis rates and congenital syphilis cases have declined."                                                                                                                                                                                                                                                                                                                                  , "The provided context does not contain any information regarding oral mucoceles, ranulas, or HIV-related salivary gland diseases. The text focuses exclusively on the hereditary factors of nasal polyposis, risk factors for bacterial vaginosis, and the impact of HIV/STD control programs in Jamaica. Therefore, the question cannot be answered based strictly on the provided evidence."                                                                                                                                                                                                                                                                                                                                                   ,                               , 
e2-q101, Do hospitals provide lower quality care on weekends?                                                                                                                                                , """America's Best Hospitals,"" an influential list published annually by U.S. News and World Report, assesses the quality of hospitals. It is not known whether patients admitted to hospitals ranked at the top in cardiology have lower short-term mortality from acute myocardial infarction than those admitted to other hospitals or whether differences in mortality are explained by differential use of recommended therapies. Using data from the Cooperative Cardiovascular Project on 149,177 elderly Medicare beneficiaries with acute myocardial infarction in 1994 or 1995, we examined the care and outcomes of patients admitted to three types of hospitals: those ranked high in cardiology (top-ranked hospitals); hospitals not in the top rank that had on-site facilities for cardiac catheterization, coronary angioplasty, and bypass surgery (similarly equipped hospitals); and the remaining hospitals (non-similarly equipped hospitals). We compared 30-day mortality; the rates of use of aspirin, beta-blockers, and reperfusion; and the relation of differences in rates of therapy to short-term mortality.
                                                                                                                                                                                                               
                                                                                                                                                                                                               To assess whether populations with access to general practitioner hospitals (GP hospitals) utilise general hospitals less than populations without such access. Observational study comparing the total rates of admissions and of occupied bed days in general hospitals between populations with and without access to GP hospitals. Comparisons were also made separately for diagnoses commonly encountered in GP hospitals. Two general hospitals serving the population of Finnmark county in north Norway. 35,435 admissions based on five years' routine recordings from the two hospitals. The total rate of admission to general hospitals was lower in peripheral municipalities with a GP hospital than in central municipalities without this kind of institution, 26% and 28% lower for men and women respectively. The corresponding differences were 38% and 52%, when analysed for occupied bed days. The differences were most pronounced for patients with respiratory diseases, cardiac failure, and cancer who are primarily or intermediately treated or cared for in GP hospitals, and for patients with stroke and fractures, who are regularly transferred from general hospitals to GP hospitals for longer term follow up care.
                                                                                                                                                                                                               
                                                                                                                                                                                                               We evaluated the usefulness of a short stay or 23-hour ward in a pediatric unit of a large teaching hospital, Westmead Hospital, and an academic Children's hospital, The New Children's Hospital, to determine if they are a useful addition to the emergency service. This is a descriptive comparison of prospectively collected data on all children admitted to the short stay ward at Westmead Hospital (WH) during 1994 and the short stay ward at the New Children's Hospital (NCH) during 1997-98. These hospitals service an identical demographic area with the latter (NCH) a tertiary referral center. The following outcome measures were used: length of stay, appropriateness of stay, rate of admission to an in-hospital bed, and rate of unscheduled visits within 72 hours of discharge. Adverse events were reported and patient follow-up was attempted at 48 hours after discharge in all cases. The short stay ward accounted for 10.3% (Westmead Hospital) and 14.7% (New Children's Hospital) of admissions, with 56% medical in nature, 30% surgical, and the remainder procedural or psychological."                                                                                                                                                                                                                                                                                                                                                       , "The provided context does not contain any information regarding differences in the quality of care between weekdays and weekends. The studies described focus on hospital rankings for cardiology, the impact of general practitioner hospitals on admission rates, and the utility of short-stay pediatric wards, none of which address weekend-specific care quality. Therefore, it is not possible to answer the question based strictly on the given evidence."                                                                                                                                                                                                                                                                             ,                               , 
e2-q193, Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?                                                                        , "The aim of this study was to determine if educating residents about the potential effects of radiation exposure from computed tomographic (CT) imaging alters ordering patterns. This study also explored whether referring physicians are interested in radiation education and was an initial effort to address their CT ordering behavior. Two to four months after a radiologist's lecture on the potential effects of radiation exposure related to CT scans, urology and orthopedic residents were surveyed regarding the number and types of CT scans they ordered, the use of alternative imaging modalities, and whether they used the lecture information to educate patients. Twenty-one resident lecture attendants completed the survey. The number of CT scans ordered after the lecture stayed constant for 90% (19 of 21) and decreased for 10% (two of 21). The types of CT scans ordered changed after the lecture for 14% (three of 21). Thirty-three percent (seven of 21) reported increases in alternative imaging after the lecture, including 24% (five of 21) reporting increases in magnetic resonance imaging and 19% (four of 21) reporting increases in ultrasound.
                                                                                                                                                                                                               
                                                                                                                                                                                                               The aim of this study was to determine whether bone scans (BS) can be avoided if pelvis was included in CT thorax and abdomen to detect bony metastases from breast cancer. Results of 77 pairs of CT (thorax, abdomen, and pelvis) and BS in newly diagnosed patients with metastatic breast cancer (MBC) were compared prospectively for 12 months. Both scans were blindly assessed by experienced radiologists and discussed at multidisciplinary team meetings regarding the diagnosis of bone metastases. CT detected metastatic bone lesions in 43 (98%) of 44 patients with bone metastases. The remaining patient had a solitary, asymptomatic bony metastasis in shaft of femur. BS was positive in all patients with bone metastases. There were 11 cases of false positive findings on BS.
                                                                                                                                                                                                               
                                                                                                                                                                                                               To determine the necessity of pelvic computed tomography (CT) in patients of renal cell carcinoma (RCC). We reviewed the records of 400 patients of RCC, who underwent treatment at our institution between January 1988 and February 2001. These patients were evaluated pre-operatively with ultrasonograms (USG) and contrast enhanced CT scan of the abdomen and pelvis. USG or CT scans of these cases were reviewed for presence of pathology in the pelvis, which were classified into 3 categories viz; benign and likely to be insignificant, benign and likely to be significant; and malignant. Of the 400 cases, 114 were stage I, 68 were stage II, 99 were stage III and 119 were stage IV. In all patients, tumour was identified in the kidney on preoperative CT scan. Fourteen patients (3.5%) had an abnormality on pelvic CT. Five (1.25%) had category 1, three (0.75%) had category 2 and six (1.5%) had category 3 abnormality on pelvic CT."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Based on the provided context, there is no evidence to support the necessity of delayed imaging or additional radiation exposure for routine abdominal and pelvic CT examinations. Specifically, a review of 400 renal cell carcinoma patients found that only 3.5% had any abnormality on pelvic CT, with the majority of these findings being benign and likely insignificant. Therefore, the additional cost of radiation and time associated with such imaging does not appear to be justified by the low yield of clinically significant findings in this population."                                                                                                                                                                     ,                               , 
e2-q111, Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?                                               , "Recent studies have demonstrated that statins have pleiotropic effects, including anti-inflammatory effects and atrial fibrillation (AF) preventive effects. The objective of this study was to assess the efficacy of preoperative statin therapy in preventing AF after coronary artery bypass grafting (CABG). 221 patients underwent CABG in our hospital from 2004 to 2007. 14 patients with preoperative AF and 4 patients with concomitant valve surgery were excluded from this study. Patients were divided into two groups to examine the influence of statins: those with preoperative statin therapy (Statin group, n = 77) and those without it (Non-statin group, n = 126). In addition, patients were divided into two groups to determine the independent predictors for postoperative AF: those with postoperative AF (AF group, n = 54) and those without it (Non-AF group, n = 149). Patient data were collected and analyzed retrospectively. The overall incidence of postoperative AF was 26%.
                                                                                                                                                                                                               
                                                                                                                                                                                                               Patient data were collected and analyzed retrospectively. The overall incidence of postoperative AF was 26%. Postoperative AF was significantly lower in the Statin group compared with the Non-statin group (16% versus 33%, p = 0.005). Multivariate analysis demonstrated that independent predictors of AF development after CABG were preoperative statin therapy (odds ratio [OR]0.327, 95% confidence interval [CI] 0.107 to 0.998, p = 0.05) and age (OR 1.058, 95% CI 1.004 to 1.116, p = 0.035).
                                                                                                                                                                                                               
                                                                                                                                                                                                               Low intakes or blood levels of eicosapentaenoic and docosahexaenoic acids (EPA + DHA) are independently associated with increased risk of death from coronary heart disease (CHD). In randomized secondary prevention trials, fish or fish oil have been demonstrated to reduce total and CHD mortality at intakes of about 1 g/day. Red blood cell (RBC) fatty acid (FA) composition reflects long-term intake of EPA + DHA. We propose that the RBC EPA + DHA (hereafter called the Omega-3 Index) be considered a new risk factor for death from CHD. We conducted clinical and laboratory experiments to generate data necessary for the validation of the Omega-3 Index as a CHD risk predictor. The relationship between this putative marker and risk for CHD death, especially sudden cardiac death (SCD), was then evaluated in several published primary and secondary prevention studies. The Omega-3 Index was inversely associated with risk for CHD mortality. An Omega-3 Index of>or = 8% was associated with the greatest cardioprotection, whereas an index of<or = 4% was associated with the least."                                                                                                                                                                                                                                                                                                                                                                , "The provided context does not contain any information regarding bezafibrate or its effects on colon cancer. The text exclusively discusses the efficacy of preoperative statin therapy in preventing atrial fibrillation after coronary artery bypass grafting and the association between the Omega-3 Index and coronary heart disease mortality. Therefore, the provided evidence is insufficient to answer the question."                                                                                                                                                                                                                                                                                                                    ,                               , 
e2-q121, Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?                                                                                                                             , "To investigate whether the presence of hippocampal atrophy (HCA) on MRI in Alzheimer's disease (AD) leads to a more rapid decline in cognitive function. To investigate whether cognitively unimpaired controls and depressed subjects with HCA are at higher risk than those without HCA of developing dementia. A prospective follow-up of subjects from a previously reported MRI study. Melbourne, Australia. Five controls with HCA and five age-matched controls without HCA, seven depressed subjects with HCA and seven without HCA, and 12 subjects with clinically diagnosed probable AD with HCA and 12 without HCA were studied. They were followed up at approximately 2 years with repeat cognitive testing, blind to initial diagnosis and MRI result. HCA was rated by two radiologists blind to cognitive test score results. Cognitive assessment was by the Cambridge Cognitive Examination (CAMCOG). No significant differences in rate of cognitive decline, mortality or progression to dementia were found between subjects with or without HCA.
                                                                                                                                                                                                               
                                                                                                                                                                                                               To investigate whether problems in instrumental activities of daily living (IADL) can add to conventionally used clinical measurements in helping to predict a diagnosis of dementia at 1- and 2-year follow-up. Multicenter prospective cohort study. Memory clinics in Europe. Individuals aged 55 and older without dementia. IADLs were measured using pooled activities from five informant-based questionnaires. Structural equation modeling (SEM) was used to investigate the relation between IADLs and dementia. Age, sex, education, depression, and cognitive measures (Mini-Mental State Examination and verbal memory) were included in the model. Five hundred thirty-one participants had baseline and 1-year follow-up assessments; 69 (13.0%) of these had developed dementia at 1-year follow-up. At 2-year follow-up, 481 participants were seen, of whom 100 (20.8%) had developed dementia. Participants with IADL disabilities at baseline had a higher conversion rate (24.4%) than participants without IADL disabilities (16.7%) (chi-square = 4.28, degrees of freedom = 1, P = .04).
                                                                                                                                                                                                               
                                                                                                                                                                                                               The differential diagnosis between essential tremor (ET) and Parkinson's disease (PD) may be, in some cases, very difficult on clinical grounds alone. In addition, it is accepted that a small percentage of ET patients presenting symptoms and signs of possible PD may progress finally to a typical pattern of parkinsonism. Ioflupane, N-u-fluoropropyl-2a-carbomethoxy-3a-(4-iodophenyl) nortropane, also called FP-CIT, labelled with (123)I (commercially known as DaTSCAN) has been proven to be useful in the differential diagnosis between PD and ET and to confirm dopaminergic degeneration in patients with parkinsonism. The aim of this study is to identify dopaminergic degeneration in patients with PD and distinguish them from others with ET using semi-quantitative SPECT (123)I-Ioflupane (DaTSCAN) data in comparison with normal volunteers (NV), in addition with the respective ones of patients referred as suffering from ET, as well as, of patients with a PD diagnosis at an initial stage with a unilateral presentation of motor signs."                                                                                                                                                                                                                                                                                                                                                                                                         , "The provided context does not contain information regarding memory-provoked rCBF-SPECT as a diagnostic tool for Alzheimer's disease. The text focuses on hippocampal atrophy on MRI, the predictive value of instrumental activities of daily living (IADL) for dementia, and the use of (123)I-Ioflupane SPECT (DaTSCAN) for differentiating Parkinson's disease from essential tremor. Therefore, no conclusion can be drawn about rCBF-SPECT based strictly on the given evidence."                                                                                                                                                                                                                                                          ,                               , 
e2-q013, Does transverse apex coincide with coronal apex levels (regional or global) in adolescent idiopathic scoliosis?                                                                                     , "Vertebral rotations were normalized by the rotation of the pelvis. The most rotated vertebral (or disc) levels (transverse apex) were compared with the regional and global apex levels (vertebra or disc) (coronal apexes) of the corresponding curves separately. Regional and global apexes were at the same level in 18 (54.5%) curves, and within half a level in another 15 (45.4%), and the regional apex was one level higher in two curves (95% confidence levels: -0.82, +0.88). Comparison of the most rotated levels with regional and global apex levels revealed a higher variability, extending up to two levels for the global apex (95% confidence levels: -1.19, +1.54 levels for the global and -1.0, +1.41 levels for the regional apexes).
                                                                                                                                                                                                               
                                                                                                                                                                                                               Cross-sectional. To identify the regional and global apexes of curves in adolescent idiopathic scoliosis and to compare the levels of those with the most rotated vertebral levels on computed tomography scans. The terminology regarding the terms and definitions had been arbitrary until being refined and standardized by the Scoliosis Research Society Working Group on Three-Dimensional Terminology of Spinal Deformity. Apical vertebra or disc is defined as the most laterally deviated vertebra or disc in a scoliosis curve, but the most rotated vertebra (or disc) has not been included in this terminology. One study suggested that the most rotated vertebral level was always located at the apex. Thirty-three structural curves of 25 consecutive patients scheduled for surgery for thoracic or thoracolumbar scoliosis were analyzed with standing anteroposterior radiographs and computed tomography scans covering the curve apexes and pelvis. Thoracic and lumbar curves were evaluated separately for all Type II curves. Vertebral rotations were normalized by the rotation of the pelvis.
                                                                                                                                                                                                               
                                                                                                                                                                                                               To analyze the changes in the curve extent, pattern and the fusion level in adolescent idiopathic scoliosis (AIS) patients who undergo delayed surgery instead of early surgery. Thirty-five immature AIS patients whose radiographs demonstrated an initial primary curve of more than 40° with a subsequent increase of 10° before attaining skeletal maturity with brace were enrolled. The initial and the final radiographs taken before surgery were compared to assess the changes in curve extent, pattern and the fusion levels as recommended by King's, Lenke's and Suk's guidelines. The average age of 35 AIS patients was 12.7 ± 1.6 years. The time interval between initial and final radiography was 39.3 ± 20.2 months and the degree of progress of the primary curve was 13 ± 9.7°. Fusion levels changed in 33 (94.2%), 33 (94.2%) and 32 (91.4%) patients according to King's, Lenke's and Suk's guidelines, respectively."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "The transverse apex does not consistently coincide with the coronal apex levels in adolescent idiopathic scoliosis. While the regional and global coronal apexes were located at the same level or within half a level in nearly all curves, the most rotated vertebral levels (transverse apex) showed higher variability. Specifically, the transverse apex could extend up to two levels away from the global coronal apex and up to 1.41 levels from the regional coronal apex."                                                                                                                                                                                                                                                            ,                               , 
e2-q002, Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?                                                                                          , "The purpose of this study is to evaluate right ventricular (RV) volume and function after pulmonary valve replacement (PVR) and to address the issue of optimal surgical timing in these patients. Chronic pulmonary regurgitation (PR) following repair of tetralogy of Fallot (TOF) leads to RV dilation and an increased incidence of sudden cardiac death in adult patients. We studied 25 consecutive adult patients who underwent PVR for significant PR late after repair of TOF. Radionuclide angiography was performed in all at a mean of 8.2 months (+/- 8 months) before PVR and repeated at a mean of 28.0 months (+/- 22.8 months) after the operation. Right ventricular (RV) end-systolic volume (RVESV), RV end-diastolic volume (RVEDV) and RV ejection fraction (RVEF) were measured.
                                                                                                                                                                                                               
                                                                                                                                                                                                               We sought to determine the feasibility and assess the clinical outcomes associated with an early extubation strategy for all children undergoing congenital heart surgery, including neonates (age,<30 days). We performed a linked database analysis of all patients undergoing congenital heart surgery from July 1, 2010 to December 31, 2012. We collected data on the cardiac diagnoses, preoperative status, procedure, and postoperative course, including the duration of invasive and noninvasive ventilation, failure of extubation, hemodynamic data, length of stay, complications, and mortality. A multivariable model was used to assess the independent factors associated with an inability to extubate within the operating room and with delayed extubation (>24 hours). We operated on 613 children, including 97 neonates. Intraoperative extubation was achieved in 71% of the cases and early extubation (≤ 24 hours) was achieved in 89% of the cases. The overall mortality was 1.5% (9 of 613 patients).
                                                                                                                                                                                                               
                                                                                                                                                                                                               Surgery was undertaken in 17 patients (85%). The positive predictive value of transesophageal echocardiogram (TEE) for the preoperative diagnosis of the site of infection was 100%. In 13 patients, only the prosthetic valve that seemed infected was replaced. Four of these patients died within a week after the procedure. Nine patients survived the surgical procedure, completed a course of antimicrobial therapy and were followed up for 15.78 months (95% CI: 12.83-18.72). All were considered cured and relapses were not observed."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "The study evaluated right ventricular volume and function in 25 adult patients who underwent pulmonary valve replacement for significant pulmonary regurgitation late after tetralogy of Fallot repair. By measuring RV end-systolic volume, end-diastolic volume, and ejection fraction before and after the operation, the research aimed to address the issue of optimal surgical timing. The findings suggest that operating late allows for chronic pulmonary regurgitation to cause RV dilation and increase the risk of sudden cardiac death, highlighting the need to determine if earlier intervention is necessary."                                                                                                                  ,                               , 
e2-q064, Body diffusion-weighted MR imaging of uterine endometrial cancer: is it helpful in the detection of cancer in nonenhanced MR imaging?                                                               , "In this study, the authors discussed the feasibility and value of diffusion-weighted (DW) MR imaging in the detection of uterine endometrial cancer in addition to conventional nonenhanced MR images. DW images of endometrial cancer in 23 patients were examined by using a 1.5-T MR scanner. This study investigated whether or not DW images offer additional incremental value to conventional nonenhanced MR imaging in comparison with histopathological results. Moreover, the apparent diffusion coefficient (ADC) values were measured in the regions of interest within the endometrial cancer and compared with those of normal endometrium and myometrium in 31 volunteers, leiomyoma in 14 patients and adenomyosis in 10 patients. The Wilcoxon rank sum test was used, with a p<0.05 considered statistically significant. In 19 of 23 patients, endometrial cancers were detected only on T2-weighted images. In the remaining 4 patients, of whom two had coexisting leiomyoma, no cancer was detected on T2-weighted images. This corresponds to an 83% detection sensitivity for the carcinomas.
                                                                                                                                                                                                               
                                                                                                                                                                                                               This corresponds to an 83% detection sensitivity for the carcinomas. When DW images and fused DW images/T2-weighted images were used in addition to the T2-weighted images, cancers were identified in 3 of the remaining 4 patients in addition to the 19 patients (overall detection sensitivity of 96%). The mean ADC value of endometrial cancer (n=22) was (0.97+/-0.19)x10(-3)mm(2)/s, which was significantly lower than those of the normal endometrium, myometrium, leiomyoma and adenomyosis (p<0.05).
                                                                                                                                                                                                               
                                                                                                                                                                                                               To investigate the contribution of chemical shift magnetic resonance imaging for assessment of the margins of solid breast masses by benefiting from India ink artifact. Eighty-eight masses in 64 patients were evaluated in T1- and T2-weighted images, dynamic contrast and chemical shift studies according to Breast Imaging Reporting and Data System magnetic resonance lexicon. Subtraction images were automatically obtained by chemical shift imaging and dynamic studies. Each sequence was scored using a scale of 1 to 5 according to its ability to demonstrate margins separate from surrounding parenchyma. Breast parenchyma was evaluated as fatty and dense. The results were compared with the histopathologic results. Twenty-eight (31.8%) of the lesions were localized in fatty breast, and the remaining 60 (68.2%) lesions were localized in dense breast. There were 34 (38.6%) benign and 54 (61.4%) malignant masses. In fatty breast, chemical shift subtraction and T1-weighted images were valuable both for the demonstration and differentiation of benign lesions (P<.05). None of the sequence was valuable for both the demonstration and differentiation of malignant lesions in fatty breasts (P>.05)."                                                                                                                                                                                                                                        , "Yes, diffusion-weighted (DW) MR imaging is helpful in the detection of uterine endometrial cancer when added to conventional nonenhanced MR imaging. While T2-weighted images alone detected cancer in 19 of 23 patients (83% sensitivity), the addition of DW images and fused DW/T2-weighted images identified cancer in 3 of the remaining 4 undetected cases, increasing the overall detection sensitivity to 96%. Furthermore, the study found that the mean apparent diffusion coefficient (ADC) value of endometrial cancer was significantly lower than that of normal endometrium, myometrium, leiomyoma, and adenomyosis."                                                                                                            ,                               , 
